,0,1,2,3,4,5,6,7,8,9
list_1_gram,NOUN,le,VERB,de,ADJ,un,il,et,à,être
list_2_gram,le_NOUN,NOUN_de,NOUN_ADJ,un_NOUN,de_NOUN,de_le,à_le,ADJ_NOUN,NOUN_VERB,son_NOUN
list_3_gram,le_NOUN_de,de_le_NOUN,NOUN_de_NOUN,NOUN_de_le,à_le_NOUN,VERB_le_NOUN,le_NOUN_ADJ,NOUN_le_NOUN,un_NOUN_de,le_NOUN_VERB
list_4_gram,NOUN_de_le_NOUN,le_NOUN_de_le,un_NOUN_de_NOUN,le_NOUN_de_NOUN,NOUN_à_le_NOUN,à_le_NOUN_de,le_NOUN_le_NOUN,VERB_à_le_NOUN,VERB_le_NOUN_de,NOUN_de_NOUN_ADJ
list_5_gram,le_NOUN_de_le_NOUN,à_le_NOUN_de_le,NOUN_de_le_NOUN_de,NOUN_à_le_NOUN_de,NOUN_de_le_NOUN_ADJ,le_NOUN_à_le_NOUN,VERB_le_NOUN_de_le,VERB_à_le_NOUN_de,le_NOUN_et_le_NOUN,le_NOUN_de_un_NOUN
