index,metadata,proba_AWARD,prediction,accord
1998_Constant-Paule_Confidence-pour-confidence,awarded,0.5892730233285028,awarded,True
1987_Duras-Marguerite_La-Vie-Materielle,not_awarded,0.47920783860673166,not_awarded,True
1991_Combescot-Pierre_Les-filles-du-Calvaire,awarded,0.3516690810185919,not_awarded,False
1934_Vercel-Roger_Capitaine-Conan,awarded,0.5155797075396998,awarded,True
1908_Rolland-Romain_Jean-Christophe_Tome-VII-Dans-la-maison,awarded,0.7361345797023642,awarded,True
1904_Rolland-Romain_Jean-Christophe_Tome-I-L-aube,awarded,0.937798999178031,awarded,True
2005_Millet-Richard_le-gout-des-femmes-laides,not_awarded,0.17817874531480427,not_awarded,True
1957_San-Antonio_Les-anges-se-font-plumer,not_awarded,0.3054105133949076,not_awarded,True
1909_Le-Rouge-Gustave_La-Guerre-des-vampires,not_awarded,0.4355321300026567,not_awarded,True
1997_Gailly-Christian_Les-Evades,not_awarded,0.5773971447615107,awarded,False
1954_Beauvoir-Simone-de_Les-Mandarins_2,awarded,0.7157368610067915,awarded,True
1926_Kessel-Joseph_Les-Captifs,awarded,0.6439805679543357,awarded,True
1996_Michon-Pierre_La-Grande-Beune,not_awarded,0.8114307741471783,awarded,False
1988_Pagnol-Marcel_Jean-De-Florette,not_awarded,0.47414789109039623,not_awarded,True
1960_Simenon-Georges_Maigret-aux-assises,not_awarded,0.36368060818446896,not_awarded,True
2001_Gailly-Christian_Un-soir-au-club,awarded,0.5928732591428989,awarded,True
1912_Rolland-Romain_Jean-Christophe_Tome-X-La-nouvelle-journee,awarded,0.6315946903859765,awarded,True
1910_Audoux-Marguerite_Marie-Claire,awarded,0.5912750421841495,awarded,True
1921_Morand-Paul_Tendres-stocks,not_awarded,0.7315315523861782,awarded,False
1931_Saint-Exupery-Antoine-de_Vol-de-nuit,awarded,0.9335696962720526,awarded,True
1978_Perec-Georges_La-Vie-mode-d-emploi,awarded,0.5290752970933601,awarded,True
1910_Renard-Maurice_Le-Peril-Bleu,not_awarded,0.5050350374953634,awarded,False
1971_Laurent-Jacques_Les-betises,awarded,0.39208578064939076,not_awarded,False
2012_Deville-Patrick_Peste-et-cholera,awarded,0.5676399629289034,awarded,True
2001_Gavalda-Anna_L-echappee-belle,not_awarded,0.10233709905416967,not_awarded,True
1951_Gracq-Julien_Le-rivage-des-Syrtes,awarded,0.9133751550445718,awarded,True
1954_Veuzit-Max-du_L'amour-releve-le-gant,not_awarded,0.19252980211954274,not_awarded,True
2010_Kerangal-Maylis-de_Naissance-d-un-pont,awarded,0.7375410360895408,awarded,True
1943_Malet-Leo_120-rue-de-la-Gare,not_awarded,0.16438970735228986,not_awarded,True
1970_Beckett-Samuel_Le-Depeupleur,not_awarded,0.6510344989718727,awarded,False
1936_Aragon-Louis_Les-Beaux-Quartiers,awarded,0.7025388403654532,awarded,True
1983_Tournier-Michel_Gilles-et-Jeanne,not_awarded,0.6553854228023769,awarded,False
1922_Mauriac-François_Le-baiser-au-lepreux,not_awarded,0.7939293973301907,awarded,False
2006_Nimier-Marie_La-Reine-du-silence,awarded,0.5740522266352095,awarded,True
2009_N-Diaye-Marie_Trois-femmes-puissantes,awarded,0.7494938433405263,awarded,True
1917_Bernede-Arthur_Judex,not_awarded,0.10072806225379899,not_awarded,True
1910_Ivoi-Paul-d-_Millionnaire-malgre-lui_tome-1,not_awarded,0.21083165672975399,not_awarded,True
1987_Echenoz-Jean_Equipee-malaise,not_awarded,0.6219125302351385,awarded,False
1957_Simenon-Georges_Maigret-voyage,not_awarded,0.3469696944511938,not_awarded,True
1942_Simenon-Georges_Cecile-est-morte,not_awarded,0.1826332671647286,not_awarded,True
2005_Houellebecq-Michel_La-possibilite-d-une-ile,awarded,0.7705689766490286,awarded,True
1996_Darrieussecq-Marie_Truismes,not_awarded,0.34559581964162484,not_awarded,True
1991_Boileau-Narcejac_La-main-passe,not_awarded,0.33913771271939924,not_awarded,True
1935_Delly_Un-marquis-de-Carabas,not_awarded,0.1714823154818649,not_awarded,True
1991_Sagan-Françoise_Les-Faux-fuyants,not_awarded,0.5513208047823158,awarded,False
2011_de-Vigan-Delphine_Rien-ne-s-oppose-a-la-nuit,awarded,0.41197631293456755,not_awarded,False
1968_Yourcenar-Marguerite_L-Oeuvre-Au-Noir,awarded,0.5621979407773001,awarded,True
1964_Duras-Marguerite_Le-Ravissement-de-Lol-V-Stein,not_awarded,0.569332929046406,awarded,False
1972_Modiano-Patrick_Les-boulevards-de-ceinture,awarded,0.3649915393199433,not_awarded,False
1951_Delly_La-maison-des-belles-colonnes-L'accusatrice,not_awarded,0.2479689937816341,not_awarded,True
1916_Barbusse-Henri_Le-Feu,awarded,0.6821675550497727,awarded,True
1923_Chateaubriant-Alphonse-de_La-Briere,awarded,0.4258953191656702,not_awarded,False
1933_Malraux-Andre_La-Condition-Humaine,awarded,0.6606140153874904,awarded,True
1906_Loti-Pierre_Les-Desenchantees,not_awarded,0.4257343673987449,not_awarded,True
2008_Ernaux-Annie_Les-annees,not_awarded,0.8956980874096686,awarded,False
1958_Pagnol-Marcel_Le-Chateau-de-ma-mere,not_awarded,0.2004168583080533,not_awarded,True
2002_Calet-Henri_Poussieres-de-la-route,not_awarded,0.5192506554930059,awarded,False
2015_Enard-Mathias_Boussole,not_awarded,0.7376503890464414,awarded,False
1999_Echenoz-Jean_Je-m-en-vais,awarded,0.6428754206986195,awarded,True
1998_Daeninckx-Didier_Cannibale,not_awarded,0.35245690284217823,not_awarded,True
1994_Rolin-Olivier_Port-Soudan,awarded,0.8284838352661628,awarded,True
1929_Bernanos-Georges_La-joie,awarded,0.4856565449036964,awarded,True
1911_Ivoi-Paul-d-_L-Espion-X-323_Volume-III-Du-sang-sur-le-Nil,not_awarded,0.2111447793012232,not_awarded,True
1939_Saint-Exupery-Antoine-de_Terre-des-hommes,awarded,0.628687129187837,awarded,True
1956_Magali_Saison-perdue,not_awarded,0.5,awarded,False
1992_Nothomb-Amelie_Hygiene-de-l-assassin,not_awarded,0.09117775251278916,not_awarded,True
1983_Ernaux-Annie_La-place,awarded,0.6942485971587177,awarded,True
2000_Djian-Philippe_Vers-chez-les-blancs,not_awarded,0.5,awarded,False
1908_Zevaco-Michel_La-Fausta,not_awarded,0.20261638555130154,not_awarded,True
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,not_awarded,0.19121288390745333,not_awarded,True
1988_Orsenna-Erik_L-exposition-coloniale,awarded,0.23952748633320872,not_awarded,False
1932_Celine-Louis-Ferdinand_Voyage-au-bout-de-la-nuit,awarded,0.3532074712085035,not_awarded,False
1995_Carrere-Emmanuel_La-classe-de-neige,awarded,0.6180369886179048,awarded,True
2008_Bauchau-Henry_Le-Boulevard-peripherique,awarded,0.6842081912779564,awarded,True
1907_Moselly-Emile_Terres-lorraines,awarded,0.8315187199186432,awarded,True
1978_Modiano-Patrick_Rue-des-boutiques-obscures,awarded,0.5758462306011152,awarded,True
1984_Modiano-Patrick_Quartier-perdu,not_awarded,0.4789602798723266,awarded,False
2014_Musso-Guillaume_Central-park,not_awarded,0.4049816045304267,not_awarded,True
2005_Bouraoui-Nina_Mes-mauvaises-pensees,awarded,0.6697885734242492,awarded,True
1904_Rolland-Romain_Jean-Christophe_Tome-II-Le-matin,awarded,0.855264663894133,awarded,True
1919_Benoit-Pierre_L-Atlantide,awarded,0.1912598476067344,not_awarded,False
2008_Cusset-Catherine_Un-brillant-avenir,awarded,0.5,awarded,True
1910_Rolland-Romain_Jean-Christophe_Tome-VIII-Les-amies,awarded,0.6677441193620836,awarded,True
2011_Jenni-Alexis_L-art-francais-de-la-guerre,awarded,0.7387791196418628,awarded,True
2014_Louis-Edouard_En-finir-avec-Eddy-Bellegueule,not_awarded,0.5665321861765408,awarded,False
2013_Darrieussecq-Marie_Il-faut-beaucoup-aimer-les-hommes,awarded,0.61512435720546,awarded,True
2012_Riboulet-Mathieu_Les-oeuvres-de-misericorde,awarded,0.639130525305803,awarded,True
