,precision,recall,f1-score,support
awarded,0.71,0.8068181818181818,0.7553191489361702,88.0
not_awarded,0.7733333333333333,0.6666666666666666,0.7160493827160493,87.0
accuracy,0.7371428571428571,0.7371428571428571,0.7371428571428571,0.7371428571428571
